warehouse,asset,older_name,manager_ip,vendor,new_name
YHG,YH12020017,BJ-YHG-A-3560X-13.53.39-E0,111.13.53.39,cisco,eas31.yhg.sinanode.com
YHG,YH12020018,BJ-YHG-A-3560X-13.53.40-E0,111.13.53.40,cisco,eas32.yhg.sinanode.com
YHG,YH11030001,BJ-YHG-A-3560g-13.53.42-E0,111.13.53.42,cisco,eas33.yhg.sinanode.com
YHG,YH11030018,BJ-YHG-A-3560g-13.53.43-E0,111.13.53.43,cisco,eas34.yhg.sinanode.com
YHG,YH10120086,BJ-YHG-A-3560g-13.53.45-E0,111.13.53.45,cisco,eas35.yhg.sinanode.com
YHG,YH08010017,BJ-YHG-A-3560g-13.53.46-E0,111.13.53.46,cisco,eas36.yhg.sinanode.com
YHG,YH12070023,BJ-YHG-A-3560X-13.53.9-E0,111.13.53.9,cisco,eas37.yhg.sinanode.com
YHG,YH10060001+YH10070006+YH12100035+YH12100036,BJ-YHG-C-H3C-13.53.1-EI,111.13.88.1,h3c,
YHG,YH08030173,BJ-YHG-A-3560g-13.88.3-E0,111.13.88.3,cisco,eas38.yhg.sinanode.com
YHG,05063772,BJ-YHG-A-3750g-13.88.4-E0,111.13.88.4,cisco,eas39.yhg.sinanode.com
YHG,YH11070093,BJ-YHG-A-3560x-13.88.5-E0,111.13.88.5,cisco,eas40.yhg.sinanode.com
YHG,YH12110004,BJ-YHG-A-3560X-13.88.6-E0,111.13.88.6,cisco,eas41.yhg.sinanode.com
YHG,YH12110006,BJ-YHG-A-3560X-13.88.7-E0,111.13.88.7,cisco,eas42.yhg.sinanode.com
YHG,YH08040038,BJ-YHG-A-3560g-16.88.8-E0,111.13.88.8,cisco,eas43.yhg.sinanode.com
YHG,YH08030005,BJ-YHG-C-6509V-16.35.1-I0,172.16.35.1,cisco,
YHG,YH12070027,BJ-YHG-A-3560X-16.35.10-I0,172.16.35.10,cisco,ias44.yhg.sinanode.com
YHG,YH12070028,BJ-YHG-A-3560X-16.35.11-I0,172.16.35.11,cisco,ias45.yhg.sinanode.com
YHG,YH12090058,BJ-YHG-A-3560X-16.35.13-I0,172.16.35.13,cisco,ias46.yhg.sinanode.com
YHG,YH12090059,BJ-YHG-A-3560X-16.35.14-I0,172.16.35.14,cisco,ias47.yhg.sinanode.com
YHG,YH08040046,BJ-YHG-A-3560g-16.35.15-I0,172.16.35.15,cisco,ias48.yhg.sinanode.com
YHG,YH12110003,BJ-YHG-A-3560X-16.35.16-I0,172.16.35.16,cisco,ias49.yhg.sinanode.com
YHG,YH07110030,BJ-YHG-A-3560x-16.35.17-I0,172.16.35.17,cisco,ias50.yhg.sinanode.com
YHG,YH08050025,BJ-YHG-A-3560g-16.35.18-I0,172.16.35.18,cisco,ias51.yhg.sinanode.com
YHG,YH07110012,BJ-YHG-A-3560g-16.35.19-I0,172.16.35.19,cisco,ias52.yhg.sinanode.com
YHG,YH10060008,BJ-YHG-A-3560g-16.35.20-I0,172.16.35.20,cisco,ias53.yhg.sinanode.com
YHG,YH06050009,BJ-YHG-A-3560g-16.35.21-I0,172.16.35.21,cisco,ias54.yhg.sinanode.com
YHG,YH10070063,BJ-YHG-A-3560g-16.35.22-I0,172.16.35.22,cisco,ias55.yhg.sinanode.com
YHG,YH06110044,BJ-YHG-A-3560g-16.35.23-I0,172.16.35.23,cisco,ias56.yhg.sinanode.com
YHG,YH08060026,BJ-YHG-A-3560g-16.35.24-I0,172.16.35.24,cisco,ias57.yhg.sinanode.com
YHG,YH11080075,BJ-YHG-A-3560g-16.35.25-I0,172.16.35.25,cisco,ias58.yhg.sinanode.com
YHG,YH11070088,BJ-YHG-A-3560X-16.35.26-I0,172.16.35.26,cisco,ias59.yhg.sinanode.com
YHG,YH11080136,BJ-YHG-A-3560X-16.35.27-I0,172.16.35.27,cisco,ias60.yhg.sinanode.com
YHG,YH11090031,BJ-YHG-A-3560X-16.35.28-I0,172.16.35.28,cisco,ias61.yhg.sinanode.com
YHG,YH11090032,BJ-YHG-A-3560X-16.35.29-I0,172.16.35.29,cisco,ias62.yhg.sinanode.com
YHG,YH11100006,BJ-YHG-A-3560X-16.35.30-I0,172.16.35.30,cisco,ias63.yhg.sinanode.com
YHG,YH11100007,BJ-YHG-A-3560X-16.35.31-I0,172.16.35.31,cisco,ias64.yhg.sinanode.com
YHG,YH11100126,BJ-YHG-A-3560X-16.35.32-I0,172.16.35.32,cisco,ias65.yhg.sinanode.com
YHG,YH11100127,BJ-YHG-A-3560X-16.35.33-I0,172.16.35.33,cisco,ias66.yhg.sinanode.com
YHG,YH11100137,BJ-YHG-A-3560X-16.35.34-I0,172.16.35.34,cisco,ias67.yhg.sinanode.com
YHG,YH11100138,BJ-YHG-A-3560X-16.35.35-I0,172.16.35.35,cisco,ias68.yhg.sinanode.com
YHG,YH11100139,BJ-YHG-A-3560X-16.35.36-I0,172.16.35.36,cisco,ias69.yhg.sinanode.com
YHG,YH11100140,BJ-YHG-A-3560X-16.35.37-I0,172.16.35.37,cisco,ias70.yhg.sinanode.com
YHG,YH11100141,BJ-YHG-A-3560X-16.35.38-I0,172.16.35.38,cisco,ias71.yhg.sinanode.com
YHG,YH12020021,BJ-YHG-A-3560X-16.35.39-I0,172.16.35.39,cisco,ias72.yhg.sinanode.com
YHG,YH12020022,BJ-YHG-A-3560X-16.35.40-I0,172.16.35.40,cisco,ias73.yhg.sinanode.com
YHG,YH12020023,BJ-YHG-A-3560X-16.35.41-I0,172.16.35.41,cisco,ias74.yhg.sinanode.com
YHG,YH11030019,BJ-YHG-A-3560g-16.35.42-I0,172.16.35.42,cisco,ias75.yhg.sinanode.com
YHG,YH11030010,BJ-YHG-A-3750g-16.35.43-I0,172.16.35.43,cisco,ias76.yhg.sinanode.com
YHG,YH11100151,BJ-YHG-A-3560X-16.35.44-I0,172.16.35.44,cisco,ias77.yhg.sinanode.com
YHG,YH10120084,BJ-YHG-A-3560g-16.35.45-I0,172.16.35.45,cisco,ias78.yhg.sinanode.com
YHG,YH08050008,BJ-YHG-A-3560g-16.35.46-I0,172.16.35.46,cisco,ias79.yhg.sinanode.com
YHG,YH12070026,BJ-YHG-A-3560X-16.35.9-I0,172.16.35.9,cisco,ias80.yhg.sinanode.com
YHG,YH08040039,BJ-YHG-A-3560g-16.88.3-I0,172.16.88.3,cisco,ias81.yhg.sinanode.com
YHG,05083015,BJ-YHG-A-3750g-16.88.4-I0,172.16.88.4,cisco,ias82.yhg.sinanode.com
YHG,YH12110002,BJ-YHG-A-3560X-16.88.5-I0,172.16.88.5,cisco,ias83.yhg.sinanode.com
YHG,YH12110005,BJ-YHG-A-3560X-16.88.6-I0,172.16.88.6,cisco,ias84.yhg.sinanode.com
YHG,YH12110007,BJ-YHG-A-3560X-16.88.7-I0,172.16.88.7,cisco,ias85.yhg.sinanode.com
YHG,05013469,BJ-YHG-A-3750g-16.88.8-I0,172.16.88.8,cisco,ias86.yhg.sinanode.com
YHG,YH10060001+YH10070006+YH12100035+YH12100036+DH15070005+DH15070010,BJ-YHG-C-H3C-13.53.1-EI,111.13.88.1,h3c,
YZ,YH11060051+YH11060052,BJ-YZ-C-6509-126.52.1-EV,10.38.253.1,cisco,
YZ,YH11060103,BJ-YZ-A-3560-38.254.21-E0,10.38.254.21,cisco,eas1.yz.sinanode.com
YZ,YH11070073,BJ-YZ-A-3560-38.254.22-E0,10.38.254.22,cisco,eas2.yz.sinanode.com
YZ,YH11060104,BJ-YZ-A-3560-38.254.30-E0,10.38.254.30,cisco,eas3.yz.sinanode.com
YZ,YH11060105,BJ-YZ-A-3560-38.254.31-E0,10.38.254.31,cisco,eas4.yz.sinanode.com
YZ,YH11060106,BJ-YZ-A-3560-38.254.32-E0,10.38.254.32,cisco,eas5.yz.sinanode.com
YZ,YH11060107,BJ-YZ-A-3560-38.254.33-E0,10.38.254.33,cisco,eas6.yz.sinanode.com
YZ,YH11060108,BJ-YZ-A-3560-38.254.34-E0,10.38.254.34,cisco,eas7.yz.sinanode.com
YZ,YH11060109,BJ-YZ-A-3560-38.254.35-E0,10.38.254.35,cisco,eas8.yz.sinanode.com
YZ,YH11060110,BJ-YZ-A-3560-38.254.36-E0,10.38.254.36,cisco,eas9.yz.sinanode.com
YZ,YH11060111,BJ-YZ-A-3560-38.254.37-E0,10.38.254.37,cisco,eas10.yz.sinanode.com
YZ,YH11120078,BJ-YZ-A-3560-38.254.38-E0,10.38.254.38,cisco,eas11.yz.sinanode.com
YZ,YH11030017,BJ-YZ-A-3560-38.254.39-E0,10.38.254.39,cisco,eas12.yz.sinanode.com
YZ,YH14060028+YH14060029,BJ-YZ-C-125-39.252.1-IR,10.39.252.1,h3c,
YZ,YH11060005,BJ-YZ-A-5800-39.252.21-I0,10.39.252.21,h3c,ias13.yz.sinanode.com
YZ,YH11060004,BJ-YZ-A-5800-39.252.22-I0,10.39.252.22,h3c,ias14.yz.sinanode.com
YZ,YH11060047,BJ-YZ-A-5800-39.252.23-I0,10.39.252.23,h3c,ias15.yz.sinanode.com
YZ,YH11060048,BJ-YZ-A-5800-39.252.24-I0,10.39.252.24,h3c,ias16.yz.sinanode.com
YZ,YH11070008,BJ-YZ-A-5800-39.252.25-I0,10.39.252.25,h3c,ias17.yz.sinanode.com
YZ,YH11070009,BJ-YZ-A-5800-39.252.26-I0,10.39.252.26,h3c,ias18.yz.sinanode.com
YZ,YH11090001,BJ-YZ-A-5800-39.252.27-I0,10.39.252.27,h3c,ias19.yz.sinanode.com
YZ,YH11090002,BJ-YZ-A-5800-39.252.28-I0,10.39.252.28,h3c,ias20.yz.sinanode.com
YZ,YH11090003,BJ-YZ-A-5800-39.252.29-I0,10.39.252.29,h3c,ias21.yz.sinanode.com
YZ,YH11100067,BJ-YZ-A-5800-39.252.30-I0,10.39.252.30,h3c,ias22.yz.sinanode.com
YZ,YH11100068,BJ-YZ-A-5800-39.252.31-I0,10.39.252.31,h3c,ias23.yz.sinanode.com
YZ,YH11100069,BJ-YZ-A-5800-39.252.32-I0,10.39.252.32,h3c,ias24.yz.sinanode.com
YZ,YH11100070,BJ-YZ-A-5800-39.252.33-I0,10.39.252.33,h3c,ias25.yz.sinanode.com
YZ,YH11100071,BJ-YZ-A-5800-39.252.34-I0,10.39.252.34,h3c,ias26.yz.sinanode.com
YZ,YH11100072,BJ-YZ-A-5800-39.252.35-I0,10.39.252.35,h3c,ias27.yz.sinanode.com
YZ,YH11100073,BJ-YZ-A-5800-39.252.36-I0,10.39.252.36,h3c,ias28.yz.sinanode.com
YZ,YH11100074,BJ-YZ-A-5800-39.252.37-I0,10.39.252.37,h3c,ias29.yz.sinanode.com
YZ,YH11100075,BJ-YZ-A-5800-39.252.38-I0,10.39.252.38,h3c,ias30.yz.sinanode.com
YZ,YH12070041,BJ-YZ-A-5800-39.252.39-I0,10.39.252.39,h3c,ias31.yz.sinanode.com
YZ,YH12070042,BJ-YZ-A-5800-39.252.40-I0,10.39.252.40,h3c,ias32.yz.sinanode.com
YZ,YH12070043,BJ-YZ-A-5800-39.252.41-I0,10.39.252.41,h3c,ias33.yz.sinanode.com
YZ,YH12120001,BJ-YZ-A-5800-39.252.42-I0,10.39.252.42,h3c,ias34.yz.sinanode.com
YZ,YH12120002,BJ-YZ-A-5800-39.252.43-I0,10.39.252.43,h3c,ias35.yz.sinanode.com
YZ,YH12120003,BJ-YZ-A-5800-39.252.44-I0,10.39.252.44,h3c,ias36.yz.sinanode.com
YZ,YH12120004,BJ-YZ-A-5800-39.252.45-I0,10.39.252.45,h3c,ias37.yz.sinanode.com
YZ,YH12120005,BJ-YZ-A-5800-39.252.46-I0,10.39.252.46,h3c,ias38.yz.sinanode.com
YZ,YH12120007,BJ-YZ-A-5800-39.252.47-I0,10.39.252.47,h3c,ias39.yz.sinanode.com
YZ,YH12120008,BJ-YZ-A-5800-39.252.48-I0,10.39.252.48,h3c,ias40.yz.sinanode.com
YZ,YH15010015,BJ-YZ-A-4948E-39.252.106-I0,10.39.252.106,cisco,ias41.yz.sinanode.com
YZ,YH14120028,BJ-YZ-A-4948E-39.252.112-I0,10.39.252.112,cisco,ias42.yz.sinanode.com
YZ,YH14120029,BJ-YZ-A-5800-39.252.158-I0,10.39.252.158,h3c,ias43.yz.sinanode.com
YZ,YH13020013,BJ-YZ-A-5800-39.252.50-I0,10.39.252.50,h3c,ias44.yz.sinanode.com
YZ,YH13020014,BJ-YZ-A-5800-39.252.51-I0,10.39.252.51,h3c,ias45.yz.sinanode.com
YZ,YH12120006,BJ-YZ-A-5800-39.252.52-I0,10.39.252.52,h3c,ias46.yz.sinanode.com
YZ,YH13050064,BJ-YZ-A-5800-39.252.53-I0,10.39.252.53,h3c,ias47.yz.sinanode.com
YZ,YH13050061,BJ-YZ-A-5800-39.252.54-I0,10.39.252.54,h3c,ias48.yz.sinanode.com
YZ,YH13050062,BJ-YZ-A-5800-39.252.55-I0,10.39.252.55,h3c,ias49.yz.sinanode.com
YZ,YH13050063,BJ-YZ-A-5800-39.252.56-I0,10.39.252.56,h3c,ias50.yz.sinanode.com
YZ,YH13020011,BJ-YZ-A-5800-39.252.57-I0,10.39.252.57,h3c,ias51.yz.sinanode.com
YZ,YH14050004,BJ-YZ-A-5800-39.252.72-I0,10.39.252.72,h3c,ias52.yz.sinanode.com
YZ,YH14050005,BJ-YZ-A-5800-39.252.73-I0,10.39.252.73,h3c,ias53.yz.sinanode.com
YZ,YH14050006,BJ-YZ-A-5800-39.252.74-I0,10.39.252.74,h3c,ias54.yz.sinanode.com
YZ,YH14060031,BJ-YZ-A-5800-39.252.75-I0,10.39.252.75,h3c,ias55.yz.sinanode.com
YZ,YH13070039,BJ-YZ-A-5800-39.252.76-I0,10.39.252.76,h3c,ias56.yz.sinanode.com
YZ,YH13070040,BJ-YZ-A-5800-39.252.77-I0,10.39.252.77,h3c,ias57.yz.sinanode.com
YZ,YH14070004,BJ-YZ-A-5800-39.252.78-I0,10.39.252.78,h3c,ias58.yz.sinanode.com
YZ,YH14070007,BJ-YZ-A-5800-39.252.79-I0,10.39.252.79,h3c,ias59.yz.sinanode.com
YZ,YH15020001,BJ-YZ-A-5800-39.252.80-I0,10.39.252.80,h3c,ias60.yz.sinanode.com
YZ,YH15020002,BJ-YZ-A-5800-39.252.81-I0,10.39.252.81,h3c,ias61.yz.sinanode.com
YZ,YH15020003,BJ-YZ-A-5800-39.252.82-I0,10.39.252.82,h3c,ias62.yz.sinanode.com
YZ,YH14110022,BJ-YZ-A-5800-39.252.83-I0,10.39.252.83,h3c,ias63.yz.sinanode.com
YZ,YH14110023,BJ-YZ-A-5800-39.252.84-I0,10.39.252.84,h3c,ias64.yz.sinanode.com
YZ,YH13070008,BJ-YZ-A-5800-39.252.85-I0,10.39.252.85,h3c,ias65.yz.sinanode.com
YZ,YH15020004,BJ-YZ-A-5800-39.252.86-I0,10.39.252.86,h3c,ias66.yz.sinanode.com
YZ,YH14120027,BJ-YZ-A-4948E-39.253.73-I0,10.39.253.73,cisco,ias67.yz.sinanode.com
YZ,YH15010013,BJ-YZ-A-4948E-39.253.83-I0,10.39.253.83,cisco,ias68.yz.sinanode.com
YZ,YH15010014,BJ-YZ-A-4948E-39.253.85-I0,10.39.253.85,cisco,ias69.yz.sinanode.com
YZ,YH15010017,BJ-YZ-A-4948E-39.253.87-I0,10.39.253.87,cisco,ias70.yz.sinanode.com
YZ,YH08060098+05045959+05044060+YH06110040,BJ-YZ-C-3750-39.254.1-IV,10.39.254.1,cisco,
YZ,YH11060133,BJ-YZ-A-3560-39.254.21-I0,10.39.254.21,cisco,ias71.yz.sinanode.com
YZ,YH11070110,BJ-YZ-A-3560-39.254.22-I0,10.39.254.22,cisco,ias72.yz.sinanode.com
YZ,YH11120107,BJ-YZ-A-3560-39.254.254-I0,10.39.254.254,cisco,ias73.yz.sinanode.com
YZ,YH11060134,BJ-YZ-A-3560-39.254.30-I0,10.39.254.30,cisco,ias74.yz.sinanode.com
YZ,YH11060135,BJ-YZ-A-3560-39.254.31-I0,10.39.254.31,cisco,ias75.yz.sinanode.com
YZ,YH11060136,BJ-YZ-A-3560-39.254.32-I0,10.39.254.32,cisco,ias76.yz.sinanode.com
YZ,YH11060137,BJ-YZ-A-3560-39.254.33-I0,10.39.254.33,cisco,ias77.yz.sinanode.com
YZ,YH11060138,BJ-YZ-A-3560-39.254.34-I0,10.39.254.34,cisco,ias78.yz.sinanode.com
YZ,YH11060139,BJ-YZ-A-3560-39.254.35-I0,10.39.254.35,cisco,ias79.yz.sinanode.com
YZ,YH11060140,BJ-YZ-A-3560-39.254.36-I0,10.39.254.36,cisco,ias80.yz.sinanode.com
YZ,YH11060141,BJ-YZ-A-3560-39.254.37-I0,10.39.254.37,cisco,ias81.yz.sinanode.com
YZ,YH11120079,BJ-YZ-A-3560-39.254.38-I0,10.39.254.38,cisco,ias82.yz.sinanode.com
YZ,YH11030009,BJ-YZ-A-3560-39.254.39-I0,10.39.254.39,cisco,ias83.yz.sinanode.com
YZ,YH08050104,BJ-YZ-C-3560G-39.122.1-I0,10.39.122.1,cisco,
YZ,YH08050104,BJ-YZ-C-3560G-39.122.1-I0,10.39.247.1,cisco,
YZ,DH15070026,BJ-YZ-A-5800-39.252.87-I0,10.39.252.87,h3c,ias84.yz.sinanode.com
YZ,DH15070024,BJ-YZ-A-5800-39.252.88-I0,10.39.252.88,h3c,ias85.yz.sinanode.com
YZ,DH15070030,BJ-YZ-A-5800-39.252.89-I0,10.39.252.89,h3c,ias86.yz.sinanode.com
YZ,DH15070031,BJ-YZ-A-5800-39.252.90-I0,10.39.252.90,h3c,ias87.yz.sinanode.com
YZ,DH15070025,BJ-YZ-A-5800-39.252.91-I0,10.39.252.91,h3c,ias88.yz.sinanode.com
YZ,DH15070023,BJ-YZ-A-5800-39.252.92-I0,10.39.252.92,h3c,ias89.yz.sinanode.com
YZ,YH06110025,BJ-YZ-C-3560G-202.76.1-E0,111.202.76.1,cisco,
YZ,DH15070022,BJ-YZ-A-5800-39.252.93-I0,10.39.252.93,h3c,ias90.yz.sinanode.com
YZ,DH15070029,BJ-YZ-A-5800-39.252.94-I0,10.39.252.94,h3c,ias91.yz.sinanode.com
YZ,DH15070027,BJ-YZ-A-5800-39.252.95-I0,10.39.252.95,h3c,ias92.yz.sinanode.com
YZ,XQ15120005,BJ-YZ-A-4948E-39.253.102-I0,10.39.253.102,cisco,ias93.yz.sinanode.com
YZ,XQ16030003,BJ-YZ-A-4948E-38.253.119-E0,10.38.253.119,cisco,eas94.yz.sinanode.com
YZ,SM15120004,BJ-YZ-B-3064-38.253.121-E0,10.38.253.121,cisco,
YZ,SM15120005,BJ-YZ-B-3064-38.253.123-E0,10.38.253.123,cisco,
YZ,SM16020004,BJ-YZ-B-3064-38.253.21-E0,10.38.253.21,cisco,
YZ,SM16020005,BJ-YZ-B-3064-38.253.22-E0,10.38.253.22,cisco,
YZ,XQ16010008,BJ-YZ-A-4948E-38.253.71-E0,10.38.253.71,cisco,eas95.yz.sinanode.com
YZ,XQ16010001,BJ-YZ-A-4948E-39.252.105-I0,10.39.252.105,cisco,ias96.yz.sinanode.com
YZ,XQ16030001,BJ-YZ-A-4948E-39.252.111-I0,10.39.252.111,cisco,ias97.yz.sinanode.com
YZ,YH13090005,BJ-YZ-A-5800-39.252.63-I0,10.39.252.63,h3c,ias98.yz.sinanode.com
YZ,YH14050002,BJ-YZ-A-5800-39.252.70-I/E0,10.39.252.70,h3c,
YZ,YH14050003,BJ-YZ-A-5800-39.252.71-I/E0,10.39.252.71,h3c,
YZ,DH16080001,BJ-YZ-A-5800-39.252.96-I0,10.39.252.96,h3c,ias99.yz.sinanode.com
YZ,DH16080002,BJ-YZ-A-5800-39.252.97-I0,10.39.252.97,h3c,ias100.yz.sinanode.com
YZ,DH16080003,BJ-YZ-A-5800-39.252.98-I0,10.39.252.98,h3c,ias101.yz.sinanode.com
YZ,DH16080004,BJ-YZ-A-5800-39.252.99-I0,10.39.252.99,h3c,ias102.yz.sinanode.com
YZ,YH15020029,BJ-YZ-A-4948E-39.253.101-I0,10.39.253.101,cisco,ias103.yz.sinanode.com
YZ,YH15020030,BJ-YZ-A-4948E-39.253.103-I0,10.39.253.103,cisco,ias104.yz.sinanode.com
YZ,YH15040001,BJ-YZ-A-4948E-39.253.105-I0,10.39.253.105,cisco,ias105.yz.sinanode.com
YZ,XQ16030005,BJ-YZ-A-4948E-39.253.107-I0,10.39.253.107,cisco,ias106.yz.sinanode.com
YZ,XQ16030006,BJ-YZ-A-4948E-39.253.109-I0,10.39.253.109,cisco,ias107.yz.sinanode.com
YZ,XQ16030012,BJ-YZ-A-4948E-39.253.113-I0,10.39.253.113,cisco,ias108.yz.sinanode.com
YZ,XQ16030004,BJ-YZ-A-4948E-39.253.119-I0,10.39.253.119,cisco,ias109.yz.sinanode.com
YZ,SM16020001,BJ-YZ-B-3064-39.253.121-I0,10.39.253.121,cisco,
YZ,SM16020002,BJ-YZ-B-3064-39.253.123-I0,10.39.253.123,cisco,
YZ,XQ16010005,BJ-YZ-A-4948E-39.253.125-I0,10.39.253.125,cisco,ias110.yz.sinanode.com
YZ,XQ16010003,BJ-YZ-A-4948E-39.253.127-I0,10.39.253.127,cisco,ias111.yz.sinanode.com
YZ,XQ16010007,BJ-YZ-A-4948E-39.253.129-I0,10.39.253.129,cisco,ias112.yz.sinanode.com
YZ,XQ15120013,BJ-YZ-A-4948E-39.253.131-I0,10.39.253.131,cisco,ias113.yz.sinanode.com
YZ,XQ15120014,BJ-YZ-A-4948E-39.253.133-I0,10.39.253.133,cisco,ias114.yz.sinanode.com
YZ,XQ15120006,BJ-YZ-A-4948E-39.253.139-I0,10.39.253.139,cisco,ias115.yz.sinanode.com
YZ,XQ15120007,BJ-YZ-A-4948E-39.253.141-I0,10.39.253.141,cisco,ias116.yz.sinanode.com
YZ,XQ15120008,BJ-YZ-A-4948E-39.253.143-I0,10.39.253.143,cisco,ias117.yz.sinanode.com
YZ,XQ15120009,BJ-YZ-A-4948E-39.253.145-I0,10.39.253.145,cisco,ias118.yz.sinanode.com
YZ,XQ15120010,BJ-YZ-A-4948E-39.253.147-I0,10.39.253.147,cisco,ias119.yz.sinanode.com
YZ,XQ16010009,BJ-YZ-A-4948E-39.253.71-I0,10.39.253.71,cisco,ias120.yz.sinanode.com
YZ,XQ15120012,BJ-YZ-A-4948E-39.253.81-I0,10.39.253.81,cisco,ias121.yz.sinanode.com
YZ,YH15010052,BJ-YZ-A-4948E-39.253.95-I0,10.39.253.95,cisco,ias122.yz.sinanode.com
YZ,YH15010053,BJ-YZ-A-4948E-39.253.97-I0,10.39.253.97,cisco,ias123.yz.sinanode.com
YZ,YH15020028,BJ-YZ-A-4948E-39.253.99-I0,10.39.253.99,cisco,ias124.yz.sinanode.com
YZ,XQ16030014,BJ-YZ-A-4948E-38.253.73-E0,10.38.253.73,cisco,eas125.yz.sinanode.com
YZ,XQ16090001,BJ-YZ-A-4948E-38.253.75-E0,10.38.253.75,cisco,eas126.yz.sinanode.com
YZ,DH16080005,BJ-YZ-A-5800-39.252.100-I0,10.39.252.100,h3c,ias127.yz.sinanode.com
YZ,DH16080006,BJ-YZ-A-5800-39.252.101-I0,10.39.252.101,h3c,ias128.yz.sinanode.com
YZ,YH15010002,BJ-YZ-A-5800-39.252.101-I0,10.39.252.101,h3c,ias129.yz.sinanode.com
YZ,DH16080045,BJ-YZ-A-5800-39.252.102-I0,10.39.252.102,h3c,ias130.yz.sinanode.com
YZ,DH16080046,BJ-YZ-A-5800-39.252.103-I0,10.39.252.103,h3c,ias131.yz.sinanode.com
YZ,DH16080047,BJ-YZ-A-5800-39.252.104-I0,10.39.252.104,h3c,ias132.yz.sinanode.com
YZ,DH16080048,BJ-YZ-A-5800-39.252.107-I0,10.39.252.107,h3c,ias133.yz.sinanode.com
YZ,YH15010003,BJ-YZ-A-5800-39.252.108-I0,10.39.252.108,h3c,ias134.yz.sinanode.com
YZ,DH16080043,BJ-YZ-A-5800-39.252.109-I0,10.39.252.109,h3c,ias135.yz.sinanode.com
YZ,DH16080044,BJ-YZ-A-5800-39.252.110-I0,10.39.252.110,h3c,ias136.yz.sinanode.com
